lon,lat,depth
-152.16458333333333,64.99791666666667,152.0
-151.99791666666667,64.99791666666667,112.0
-151.83125,64.99791666666667,153.0
-151.66458333333333,64.99791666666667,69.0
-151.49791666666667,64.99791666666667,69.0
-151.33125,64.99791666666667,71.0
-151.16458333333333,64.99791666666667,114.0
-150.99791666666667,64.99791666666667,290.0
-150.83125,64.99791666666667,386.0
-150.66458333333333,64.99791666666667,187.0
-150.49791666666667,64.99791666666667,79.0
-150.33125,64.99791666666667,125.0
-150.16458333333333,64.99791666666667,267.0
-149.99791666666667,64.99791666666667,258.0
-149.83125,64.99791666666667,158.0
-149.66458333333333,64.99791666666667,91.0
-149.49791666666667,64.99791666666667,100.0
-149.33125,64.99791666666667,101.0
-149.16458333333333,64.99791666666667,100.0
-148.99791666666667,64.99791666666667,100.0
