Country,Iso3,Pop_2025,Pop_2100,Change_Abs,Change_Pct
Cayman Islands,CYM,75843.5,118031.5,42188.0,55.62507004555434
Central African Republic,CAF,5513282.0,18779149.5,13265867.5,240.61652387815462
Central America,MCA,185160699.0,197004624.0,11843925.0,6.3965652884038855
Central Asia,CAS,83597798.0,149900193.5,66302395.5,79.31117455988493
Central and Southern Asia,ACS,2168805514.5,2639257307.5,470451793.0,21.69174644082638
Chad,TCD,21003705.0,69546607.0,48542902.0,231.1159007422738
Chile,CHL,19859921.0,13430616.0,-6429305.0,-32.37326573454144
China,CHN,1416096094.0,633368112.5,-782727981.5,-55.2736487881309
"China, Hong Kong SAR",HKG,7396076.0,2080290.5,-5315785.5,-71.87305133154392
"China, Macao SAR",MAC,722007.0,331168.0,-390839.0,-54.132300656364826
"China, Taiwan Province of China",TWN,23112793.0,10016994.5,-13095798.5,-56.6603893350319
Colombia,COL,53425635.5,47080763.5,-6344872.0,-11.87608147403319
Comoros,COM,882847.5,1911034.0,1028186.5,116.4625260874613
Congo,COG,6484437.0,20025644.0,13541207.0,208.82625584919708
Cook Islands,COK,13263.0,7903.5,-5359.5,-40.40940963582899
Costa Rica,CRI,5152950.0,3776473.5,-1376476.5,-26.712397752743573
Croatia,HRV,3848160.0,2141438.5,-1706721.5,-44.3516251922997
Cuba,CUB,10937203.5,5577281.5,-5359922.0,-49.00632963444449
Curaçao,CUW,185487.0,120454.0,-65033.0,-35.060678106821506
Cyprus,CYP,1370754.0,1275353.0,-95401.0,-6.959746241849377
Czechia,CZE,10609239.5,8228075.500000001,-2381163.999999999,-22.444247771011288
Côte d'Ivoire,CIV,32711546.5,104042819.5,71331273.0,218.06145117596319
Dem. People's Rep. of Korea,PRK,26571036.5,19512149.0,-7058887.5,-26.566097637929932
Dem. Rep. of the Congo,COD,112832473.0,430709445.5,317876972.5,281.7247234313476
Denmark,DNK,6002507.0,5863216.0,-139291.0,-2.3205470647514446
Developed regions,RDD,1287256639.0,1193018636.0,-94238003.0,-7.320840316132174
Developing regions,DGR,6944356431.0,8987142115.5,2042785684.5,29.41648667946952
"Developing regions, excluding China",DGC,5497029461.0,8341345550.0,2844316089.0,51.7427841560553
Djibouti,DJI,1184076.5,1841534.0,657457.5,55.524917520109554
Dominica,DMA,65871.5,49110.0,-16761.5,-25.44575423362152
Dominican Republic,DOM,11520487.0,11674910.0,154423.0,1.3404207651985545
Eastern Africa,EAF,513485693.0,1382604934.5,869119241.5,169.25870639593458
Eastern Asia,EAA,1652185615.0,769522839.5,-882662775.5,-53.42394749635923
Eastern Europe,EEU,284452005.0,200167856.0,-84284149.0,-29.63035855556722
Eastern and South-Eastern Asia,ESA,2352217314.0,1448796864.0,-903420450.0,-38.407184770854045
Ecuador,ECU,18289896.0,19092159.0,802263.0,4.386372672649423
Egypt,EGY,118365994.5,201895183.5,83529189.0,70.56856942134677
El Salvador,SLV,6365503.0,5073224.5,-1292278.5,-20.301278626370927
Equatorial Guinea,GNQ,1938431.0,5003223.0,3064792.0,158.10684001648755
Eritrea,ERI,3607003.0,8444381.5,4837378.5,134.11074235313916
Estonia,EST,1344232.0,825503.0,-518729.0,-38.58924649911623
Eswatini,SWZ,1256174.0,1340879.0,84705.0,6.743094507608023
Ethiopia,ETH,135472050.5,367289596.5,231817546.0,171.1183562545988
